df	in_cap	en_term	example_card
305	yes	[credit]	account_siphon
265	yes	runner	aggressive_secretary
262	yes	run	account_siphon
221	yes	card	aggressive_negotiation
218	yes	turn	adonis_campaign
207	yes	ice	accelerated_beta_test
194	yes	[click]	armitage_codebusting
174	yes	trash	accelerated_beta_test
157	yes	[subroutine]	archer
141	yes	cost	akitaro_watanabe
139	yes	cards	accelerated_beta_test
138	yes	successful	account_siphon
136	yes	agenda	aggressive_negotiation
135	yes	piece	chum
133	yes	gain	account_siphon
131	yes	install	accelerated_beta_test
119	yes	installed	aesops_pawnshop
117	yes	server	akitaro_watanabe
113	yes	strength	aurora
110	yes	program	aggressive_secretary
108	yes	hq	account_siphon
108	yes	damage	chum
105	yes	piece of ice	chum
103	yes	place	armitage_codebusting
102	yes	break	aurora
96	yes	play	aggressive_negotiation
96	yes	counter	astroscript_pilot_program
93	yes	corp	account_siphon
93	yes	hosted	astroscript_pilot_program
92	yes	during	chum
89	yes	use	cyberfeeder
85	yes	r d	accelerated_beta_test
85	yes	r	accelerated_beta_test
85	yes	d	accelerated_beta_test
85	yes	begins	adonis_campaign
85	yes	per	desperado
84	yes	end	archer
83	yes	credits	adonis_campaign
83	yes	turn begins	adonis_campaign
81	yes	first	gabriel_santiago_consummate_professional
80	yes	score	accelerated_beta_test
78	yes	rez	accelerated_beta_test
78	yes	cannot	stimhack
77	yes	additional	archer
76	yes	spend	crash_space
76	yes	reveal	djinn
75	yes	add	aggressive_negotiation
75	yes	advancement	aggressive_secretary
74	yes	end the run	archer
73	yes	subroutine	aurora
72	yes	[trash]	corporate_troubleshooter
70	yes	number	bank_job
69	yes	limit	desperado
68	yes	trace	data_raven
67	yes	interface	aurora
66	yes	take	account_siphon
66	yes	grip	deja_vu
65	yes	ability	heimdall_1_0
64	yes	draw	anonymous_tip
63	yes	time	gabriel_santiago_consummate_professional
62	yes	additional cost	archer
60	yes	counters	medium
59	yes	[subroutine] end	archer
59	yes	tag	crash_space
56	yes	[credit] break	aurora
56	yes	first time	gabriel_santiago_consummate_professional
55	yes	successful run	bank_job
54	yes	pay	aggressive_secretary
54	yes	net	chum
53	yes	subroutines	battering_ram
51	yes	trashed	director_haas
50	yes	net damage	chum
50	yes	until	datasucker
49	yes	protecting	akitaro_watanabe
49	yes	s	hadrians_wall
49	yes	while	ice_carver
47	yes	top	accelerated_beta_test
47	yes	remainder	battering_ram
47	yes	choose	corporate_troubleshooter
46	yes	gain 1 [credit]	desperado
46	yes	gains	private_security_force
45	yes	rezzed	adonis_campaign
44	yes	costs	accelerated_beta_test
43	yes	use this ability	heimdall_1_0
42	yes	lose	account_siphon
42	yes	make	bank_job
42	yes	stack	djinn
42	yes	equal	psychographics
40	yes	give	breaking_news
39	yes	shuffle	aggressive_negotiation
38	yes	archives	archived_memories
38	yes	remove	crash_space
38	yes	bad publicity	hostile_takeover
38	yes	bad	hostile_takeover
38	yes	publicity	hostile_takeover
38	yes	least	zu_13_key_master
38	yes	runner s	power_grid_overload
38	yes	cost to play	scavenge
37	yes	ice protecting	akitaro_watanabe
37	yes	asset	snare
36	yes	interface 1 [credit]	corroder
36	yes	operation	weyland_consortium_building_a_better_world
35	yes	instead	account_siphon
35	yes	virus	crypsis
35	yes	player	desperado
35	yes	spend [click]	ruhr_valley
34	yes	resource	bank_job
34	yes	prevent	crash_space
34	yes	power counter	data_raven
34	yes	[subroutine] trace	data_raven
34	yes	power	data_raven
34	yes	access	demolition_run
33	yes	[interrupt]	crash_space
33	yes	[mu]	desperado
33	yes	score area	notoriety
33	yes	area	notoriety
33	yes	deck	custom_biotics_engineered_for_success
32	yes	credit	account_siphon
32	yes	give the runner	breaking_news
32	yes	x	corporate_troubleshooter
